model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_eigen,2000,0,1.01644086837769,10,30,5,2000,0,0.22,0.194866662335158,0.227586206896552,2
mongrel_cholesky,2000,0,1.13701272010803,10,30,5,2000,0,0.22,0.170752562672633,0.379310344827586,2
mongrel_eigen,2000,0,1.61260724067688,20,30,5,2000,0,0.16,0.0471410510235136,0.158620689655172,2
mongrel_cholesky,2000,0,1.41354179382324,20,30,5,2000,0,0.16,0.0383060449141151,0.275862068965517,2
mongrel_eigen,2000,0,2.92039275169373,30,30,5,2000,0,0.14,0.0274570352636142,0.131034482758621,2
mongrel_cholesky,2000,0,1.81385493278503,30,30,5,2000,0,0.14,0.0217749759835087,0.296551724137931,2
mongrel_cholesky,2000,0,2.59291505813599,50,30,5,2000,0,0.144,0.0128361230639054,0.406896551724138,2
mongrel_eigen,2000,0,8.02816200256348,50,30,5,2000,0,0.144,0.0160478638443739,0.16551724137931,2
mongrel_cholesky,2000,0,4.72378468513489,100,30,5,2000,0,0.112333333333333,0.00427474728338229,0.296551724137931,2
stan_collapsed,1531.89081065459,10.78,7.65,10,30,5,4000,2000,0.22,0.186102425174446,0.172413793103448,2
mongrel_cholesky,2000,0,19.2540228366852,250,30,5,2000,0,0.0652,0.00150229054694318,0.393103448275862,2
stan_collapsed,1014.54076659249,19.15,17.2,20,30,5,4000,2000,0.16,0.0466336201558971,0.124137931034483,2
mongrel_eigen,2000,0,1.08662794828415,100,30,5,2000,0,0.112333333333333,0.00570897931140172,0.103448275862069,2
stan_collapsed,673.259386959497,40.09,33.89,30,30,5,4000,2000,0.14,0.0274039693724192,0.0827586206896552,2
mongrel_cholesky,2000,0,1.41587063471476,500,30,5,2000,0,0.159866666666667,0.00236365960172964,0.593103448275862,2
stan_collapsed,562.145956299364,81.69,75.24,50,30,5,4000,2000,0.144,0.0144313355824058,0.0689655172413793,2
mongrel_cholesky,2000,0,2.88416322072347,750,30,5,2000,0,0.0973333333333333,0.000738786297892656,0.496551724137931,2
mongrel_cholesky,2000,0,5.02059067090352,1000,30,5,2000,0,0.1126,0.000773777415557297,0.531034482758621,2
stan_collapsed,266.867027070791,270.02,269.2,100,30,5,4000,2000,0.112333333333333,0.00559467398318405,0.0689655172413793,2
mongrel_eigen,2000,0,12.1629912614822,250,30,5,2000,0,0.0652,0.00188649513691934,0.103448275862069,2
stan_collapsed,282.907425245897,2389.86,3173.32,250,30,5,4000,2000,0.0652,0.00170788928423956,0.0758620689655172,2
mongrel_eigen,2000,0,1.90550688703855,500,30,5,2000,0,0.159866666666667,0.00277222521119512,0.36551724137931,2
mongrel_eigen,2000,0,5.7322791637977,750,30,5,2000,0,0.0973333333333333,0.000921354925866726,0.2,2
stan_collapsed,93.3269521242033,20640.9,14174,500,30,5,4000,2000,0.159866666666667,0.00190267500474886,0.131034482758621,2
mongrel_eigen,2000,0,13.2147606466214,1000,30,5,2000,0,0.1126,0.000905856593117223,0.248275862068966,2
