model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_cholesky,4000,0,9.73136401176453,100,30,10,4000,0,0.286333333333333,0.017209078873376,0.203448275862069,2
mongrel_cholesky,4000,0,18.793475151062,100,30,10,4000,0,0.297333333333333,0.0213737868210116,0.224137931034483,3
mongrel_cholesky,4000,0,10.7913730144501,100,30,20,4000,0,0.544666666666667,0.0917517215982036,0.368965517241379,1
mongrel_cholesky,4000,0,9.82591080665588,100,30,20,4000,0,0.538666666666667,0.113743741696676,0.444827586206897,2
mongrel_cholesky,4000,0,9.14976501464844,100,30,20,4000,0,0.503,0.0766163917991996,0.318965517241379,3
mongrel_cholesky,4000,0,13.2634212970734,100,30,50,4000,0,0.761,0.67750729467339,0.553103448275862,1
mongrel_cholesky,4000,0,12.1831469535828,100,30,50,4000,0,0.736333333333333,0.629429609812728,0.531724137931034,2
mongrel_cholesky,4000,0,16.5163314342499,100,30,50,4000,0,0.735,0.673793064508073,0.51448275862069,3
mongrel_cholesky,4000,0,15.690539598465,100,30,75,4000,0,0.816333333333333,0.954731908174587,0.503908045977011,1
mongrel_cholesky,4000,0,13.8179726600647,100,30,75,4000,0,0.820333333333333,1.00037056354673,0.47816091954023,2
mongrel_cholesky,4000,0,17.0976917743683,100,30,75,4000,0,0.817333333333333,1.06963686809835,0.520459770114942,3
mongrel_cholesky,4000,0,16.6760666370392,100,30,100,4000,0,0.835,1.01724890776171,0.502413793103448,1
mongrel_cholesky,4000,0,13.3082230091095,100,30,100,4000,0,0.854666666666667,1.09867135394748,0.452068965517241,2
mongrel_cholesky,4000,0,38.015983581543,100,30,100,4000,0,0.852666666666667,1.09331985759344,0.476896551724138,3
mongrel_cholesky,4000,0,32.9187061786652,100,30,250,4000,0,0.915333333333333,1.156327712315,0.472413793103448,1
mongrel_cholesky,4000,0,31.5078070163727,100,30,250,4000,0,0.905333333333333,1.08363711707053,0.515172413793103,2
mongrel_cholesky,4000,0,28.6965329647064,100,30,250,4000,0,0.896666666666667,1.04724428640468,0.541655172413793,3
mongrel_cholesky,4000,0,1108.05060744286,100,30,500,4000,0,0.932666666666667,1.05140437976695,0.60351724137931,1
mongrel_cholesky,4000,0,394.370804309845,100,30,500,4000,0,0.937,1.04978849479815,0.621931034482759,2
mongrel_cholesky,4000,0,1248.42168593407,100,30,500,4000,0,0.928666666666667,1.06447810297403,0.607103448275862,3
