model,ESS,burnin_runtime,sample_runtime,Timer_HessianCalculation,Timer_LaplaceApproximation,Timer_Optimization,Timer_Overall,Timer_Uncollapse_Overall.Overall,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_RMSE,percent_outside_95CI,random_seed
stan_uncollapsed,945.247328987417,357.5,281.1,0,0,0,0,0,N,3,2000,1000,0.0444444444444444,0.77774426120247,0.275862068965517,1
stan_uncollapsed,630.090668395343,418.57,307.31,0,0,0,0,0,N,3,2000,1000,0.166666666666667,0.943851517812727,0.36551724137931,2
stan_uncollapsed,1111.37759615612,419.01,369.02,0,0,0,0,0,N,3,2000,1000,0.0444444444444444,0.730983720964714,0.227586206896552,3
stan_uncollapsed,979.283815817322,366.77,275.58,0,0,0,0,0,N,5,2000,1000,0.0333333333333333,0.643623174772772,0.206896551724138,1
stan_uncollapsed,729.44719993614,454.23,396.46,0,0,0,0,0,N,5,2000,1000,0.186666666666667,0.83282064675486,0.358620689655172,2
stan_uncollapsed,860.803571258643,390.41,322.18,0,0,0,0,0,N,5,2000,1000,0.0533333333333333,0.681540430489712,0.2,3
stan_uncollapsed,1179.03250352967,345.48,307.27,0,0,0,0,0,N,10,2000,1000,0.0333333333333333,0.371299672151454,0.096551724137931,1
stan_uncollapsed,1512.75598087836,516.58,472.42,0,0,0,0,0,N,10,2000,1000,0.22,0.440549439710172,0.096551724137931,2
stan_uncollapsed,971.252361718077,325.6,246.58,0,0,0,0,0,N,10,2000,1000,0.0433333333333333,0.543860932818562,0.310344827586207,3
stan_uncollapsed,1204.40823750072,340.38,247.16,0,0,0,0,0,N,20,2000,1000,0.07,0.203498812006155,0.0275862068965517,1
stan_uncollapsed,1069.48642504788,364.52,241.44,0,0,0,0,0,N,20,2000,1000,0.16,0.224039259139413,0.0758620689655172,2
stan_uncollapsed,1098.24384098876,318.13,268.39,0,0,0,0,0,N,20,2000,1000,0.0566666666666667,0.222126706576623,0.0206896551724138,3
stan_uncollapsed,640.71060758841,310.16,148.24,0,0,0,0,0,N,30,2000,1000,0.0644444444444444,0.163923528463031,0.0551724137931034,1
stan_uncollapsed,842.487083676834,419.81,272.15,0,0,0,0,0,N,30,2000,1000,0.14,0.167157451625841,0.0551724137931034,2
stan_uncollapsed,912.353499829624,308.49,205.12,0,0,0,0,0,N,30,2000,1000,0.0577777777777778,0.170749044132228,0.0275862068965517,3
stan_uncollapsed,335.741161637805,364.07,280.21,0,0,0,0,0,N,50,2000,1000,0.0886666666666667,0.131325084856241,0.0689655172413793,1
stan_uncollapsed,645.649970162285,446.27,342.06,0,0,0,0,0,N,50,2000,1000,0.144,0.122011699552346,0.0620689655172414,2
stan_uncollapsed,495.938191381038,414.27,323.12,0,0,0,0,0,N,50,2000,1000,0.120666666666667,0.133275056601713,0.0551724137931034,3
stan_uncollapsed,219.851387141645,466.69,220.95,0,0,0,0,0,N,100,2000,1000,0.114,0.0859587686841225,0.0896551724137931,1
stan_uncollapsed,313.067670134002,409.35,175.69,0,0,0,0,0,N,100,2000,1000,0.112333333333333,0.0759794908801974,0.0482758620689655,2
stan_uncollapsed,204.133789995687,617.83,444.98,0,0,0,0,0,N,100,2000,1000,0.143333333333333,0.0929772143338105,0.103448275862069,3
stan_uncollapsed,213.616413579673,1081.62,527.69,0,0,0,0,0,N,250,2000,1000,0.107333333333333,0.0460469617854685,0.0896551724137931,1
stan_uncollapsed,257.178404482813,1061.45,651.97,0,0,0,0,0,N,250,2000,1000,0.0652,0.0415448978896444,0.0551724137931034,2
stan_uncollapsed,205.987111812804,1183.76,460.35,0,0,0,0,0,N,250,2000,1000,0.122266666666667,0.0513262880394435,0.0413793103448276,3
stan_uncollapsed,153.835928273945,2992.28,1133.19,0,0,0,0,0,N,500,2000,1000,0.157,0.0342532197351746,0.0482758620689655,1
stan_uncollapsed,181.29966320544,2562.26,1947.14,0,0,0,0,0,N,500,2000,1000,0.159866666666667,0.0453240606887376,0.124137931034483,2
stan_uncollapsed,96.4686664973349,2658.63,1087.66,0,0,0,0,0,N,500,2000,1000,0.124066666666667,0.0339225911932653,0.0413793103448276,3
stan_uncollapsed,100.207694287887,4474.36,3222.16,0,0,0,0,0,N,750,2000,1000,0.149511111111111,0.029687775768902,0.0551724137931034,1
stan_uncollapsed,140.991495417255,3967.65,1610.08,0,0,0,0,0,N,750,2000,1000,0.0973333333333333,0.0236928316274515,0.00689655172413793,2
stan_uncollapsed,314.76431183278,4274.93,2057.69,0,0,0,0,0,N,750,2000,1000,0.0747555555555556,0.0233644227516943,0.0413793103448276,3
stan_uncollapsed,99.5611393116051,7753.94,4433.66,0,0,0,0,0,N,1000,2000,1000,0.117166666666667,0.0220143973319761,0.0206896551724138,1
stan_uncollapsed,161.101521570926,8265.11,3348.71,0,0,0,0,0,N,1000,2000,1000,0.1126,0.0240347755126015,0.0413793103448276,2
stan_uncollapsed,161.995644232878,8251.9,3463.05,0,0,0,0,0,N,1000,2000,1000,0.1003,0.0242459431848601,0.0689655172413793,3
stan_collapsed,1851.25552185034,0.99,0.83,0,0,0,0,0,N,3,2000,1000,0.0444444444444444,0.783349518906284,0.317241379310345,1
stan_collapsed,1882.64359808815,1.65,1.36,0,0,0,0,0,N,3,2000,1000,0.166666666666667,0.945622240104137,0.427586206896552,2
stan_collapsed,1922.22142594825,1.16,0.99,0,0,0,0,0,N,3,2000,1000,0.0444444444444444,0.723267323360092,0.241379310344828,3
stan_collapsed,1909.30196418645,1.91,1.26,0,0,0,0,0,N,5,2000,1000,0.0333333333333333,0.651457064843997,0.255172413793103,1
stan_collapsed,1874.65990853817,3.37,2.54,0,0,0,0,0,N,5,2000,1000,0.186666666666667,0.833086308128363,0.393103448275862,2
stan_collapsed,1920.97330784431,1.93,1.41,0,0,0,0,0,N,5,2000,1000,0.0533333333333333,0.689508996462769,0.23448275862069,3
stan_collapsed,1423.58715725975,4.64,5.25,0,0,0,0,0,N,10,2000,1000,0.0333333333333333,0.378237140770866,0.137931034482759,1
stan_collapsed,1566.2203620318,9.39,8.39,0,0,0,0,0,N,10,2000,1000,0.22,0.452397796615404,0.193103448275862,2
stan_collapsed,1778.33723750029,5.21,4.59,0,0,0,0,0,N,10,2000,1000,0.0433333333333333,0.547666992809434,0.310344827586207,3
stan_collapsed,1173.75024207088,16.1,12.51,0,0,0,0,0,N,20,2000,1000,0.07,0.20084902023541,0.0275862068965517,1
stan_collapsed,887.223876475327,19.98,18.88,0,0,0,0,0,N,20,2000,1000,0.16,0.226808119203466,0.124137931034483,2
stan_collapsed,1255.56368207389,13.22,12.6,0,0,0,0,0,N,20,2000,1000,0.0566666666666667,0.224094306791633,0.0482758620689655,3
stan_collapsed,1018.16548983878,23.27,15.52,0,0,0,0,0,N,30,2000,1000,0.0644444444444444,0.164301898572889,0.0620689655172414,1
stan_collapsed,850.817609901969,38.34,34.34,0,0,0,0,0,N,30,2000,1000,0.14,0.166804091173835,0.0689655172413793,2
stan_collapsed,882.597199877499,25.67,16.59,0,0,0,0,0,N,30,2000,1000,0.0577777777777778,0.172651908207419,0.0482758620689655,3
stan_collapsed,298.264571363334,67.16,54.41,0,0,0,0,0,N,50,2000,1000,0.0886666666666667,0.130702689652375,0.0896551724137931,1
stan_collapsed,601.728637841956,84.21,86.42,0,0,0,0,0,N,50,2000,1000,0.144,0.124723372058579,0.103448275862069,2
stan_collapsed,568.666096807674,83.58,75.51,0,0,0,0,0,N,50,2000,1000,0.120666666666667,0.130298673229279,0.0689655172413793,3
stan_collapsed,497.242536842705,230.67,237.21,0,0,0,0,0,N,100,2000,1000,0.114,0.0879192111471767,0.117241379310345,1
stan_collapsed,554.457553905238,261.98,256.74,0,0,0,0,0,N,100,2000,1000,0.112333333333333,0.0752386417230368,0.0689655172413793,2
stan_collapsed,291.289343011191,265.2,227.61,0,0,0,0,0,N,100,2000,1000,0.143333333333333,0.0924407957087715,0.124137931034483,3
stan_collapsed,362.651828489181,2750.6,2316.58,0,0,0,0,0,N,250,2000,1000,0.107333333333333,0.0455085516902653,0.0758620689655172,1
stan_collapsed,400.569276842148,2508.4,2870.02,0,0,0,0,0,N,250,2000,1000,0.0652,0.0412943065263803,0.0620689655172414,2
stan_collapsed,438.540204447957,2923.81,2408,0,0,0,0,0,N,250,2000,1000,0.122266666666667,0.0503226194125362,0.0620689655172414,3
stan_collapsed,209.255337407168,20635.6,15539.5,0,0,0,0,0,N,500,2000,1000,0.157,0.0341306849441945,0.0482758620689655,1
stan_collapsed,123.653130860649,23699.6,18152.3,0,0,0,0,0,N,500,2000,1000,0.159866666666667,0.0448132616922004,0.131034482758621,2
stan_collapsed,179.133992860172,21348.3,15366.4,0,0,0,0,0,N,500,2000,1000,0.124066666666667,0.0336302747574719,0.0413793103448276,3
stan_collapsed,108.629035074803,73946,45788.1,0,0,0,0,0,N,750,2000,1000,0.149511111111111,0.0293317100443036,0.0758620689655172,1
stan_collapsed,212.655234968861,62618.9,45968.8,0,0,0,0,0,N,750,2000,1000,0.0973333333333333,0.0229295812794225,0.00689655172413793,2
stan_collapsed,395.844747591333,54733.2,49633.5,0,0,0,0,0,N,750,2000,1000,0.0747555555555556,0.0234713197249998,0.0551724137931034,3
mongrel_cholesky,4000,0,1.12624502182007,0.000324504,0.037223217,0.011020344,0.833399783,0.781630957,N,3,4000,0,0.0444444444444444,0.784201949349777,0.324137931034483,1
mongrel_cholesky,4000,0,1.11568450927734,0.000326531,0.044368029,0.013375164,0.82747552,0.766706301,N,3,4000,0,0.166666666666667,0.942403959708501,0.448275862068966,2
mongrel_cholesky,4000,0,1.13178110122681,0.000357786,0.053346484,0.012720088,0.840084534,0.770961063,N,3,4000,0,0.0444444444444444,0.721689669528139,0.262068965517241,3
mongrel_cholesky,4000,0,1.16089344024658,0.000627086,0.15624035,0.01392,0.87850465,0.508566569,N,5,4000,0,0.0333333333333333,0.652027436865005,0.255172413793103,1
mongrel_cholesky,4000,0,1.30064105987549,0.000456338,0.189344508,0.031647151,0.989079148,0.533293856,N,5,4000,0,0.186666666666667,0.836926825268958,0.406896551724138,2
