model,sweep_param,sweep_value,skew_RMSE
stan_uncollapsed,N,250,0.0955935937963558
stan_collapsed_variationalbayes_meanfield,N,250,0.0840984559414425
mongrel_cholesky,N,250,0.0872899061716777
mongrel_cholesky_MAP,N,250,0.0872899061716777
conjugate_linear_model,N,250,0.0917486854428139
stan_uncollapsed,N,250,0.0941736131792442
stan_collapsed_variationalbayes_meanfield,N,250,0.0846526807846325
mongrel_cholesky,N,250,0.0787914736454178
mongrel_cholesky_MAP,N,250,0.0787914736454178
conjugate_linear_model,N,250,0.0857174129230577
stan_uncollapsed,N,250,0.0910830455835147
stan_collapsed_variationalbayes_meanfield,N,250,0.0839543201322041
mongrel_cholesky,N,250,0.0871335412933227
mongrel_cholesky_MAP,N,250,0.0871335412933227
conjugate_linear_model,N,250,0.0764939227581316
stan_collapsed,N,500,0
stan_uncollapsed,N,500,0.0917668113232304
stan_collapsed_variationalbayes_meanfield,N,500,0.090892068533441
mongrel_cholesky,N,500,0.0781672962330711
mongrel_cholesky_MAP,N,500,0.0781672962330711
conjugate_linear_model,N,500,0.0879856787215552
stan_uncollapsed,N,500,0.101917992681357
stan_collapsed_variationalbayes_meanfield,N,500,0.0912686154065107
mongrel_cholesky,N,500,0.0973613258240606
mongrel_cholesky_MAP,N,500,0.0973613258240606
conjugate_linear_model,N,500,0.0970085159750768
stan_uncollapsed,N,500,0.103971130496911
stan_collapsed_variationalbayes_meanfield,N,500,0.0775686150224373
mongrel_cholesky,N,500,0.0816313255865216
mongrel_cholesky_MAP,N,500,0.0816313255865216
conjugate_linear_model,N,500,0.0839156312674644
stan_collapsed,N,750,0
stan_uncollapsed,N,750,0.0970198344012919
stan_collapsed_variationalbayes_meanfield,N,750,0.0785968280236133
mongrel_cholesky,N,750,0.0837429823301015
mongrel_cholesky_MAP,N,750,0.0837429823301015
conjugate_linear_model,N,750,0.0884326579483886
stan_uncollapsed,N,750,0.086546606760708
stan_collapsed_variationalbayes_meanfield,N,750,0.072070100322673
mongrel_cholesky,N,750,0.0770598640697363
mongrel_cholesky_MAP,N,750,0.0770598640697363
conjugate_linear_model,N,750,0.0782455600397499
stan_uncollapsed,N,750,0.0828789752052547
stan_collapsed_variationalbayes_meanfield,N,750,0.0793934441690225
mongrel_cholesky,N,750,0.0845725206708784
mongrel_cholesky_MAP,N,750,0.0845725206708784
conjugate_linear_model,N,750,0.0829199012998993
stan_collapsed,D,3,0
stan_uncollapsed,D,3,0.0455463066586527
stan_collapsed_variationalbayes_meanfield,D,3,0.0704694808660679
mongrel_cholesky,D,3,0.0795553130633429
mongrel_cholesky_MAP,D,3,0.0795553130633429
conjugate_linear_model,D,3,0.0721202242613994
stan_uncollapsed,D,3,0.0791571060384378
stan_collapsed_variationalbayes_meanfield,D,3,0.0680437569271932
mongrel_cholesky,D,3,0.105265785853827
mongrel_cholesky_MAP,D,3,0.105265785853827
conjugate_linear_model,D,3,0.0685321470346465
stan_uncollapsed,D,3,0.0835815627760363
stan_collapsed_variationalbayes_meanfield,D,3,0.050398262735283
mongrel_cholesky,D,3,0.0753346471638744
mongrel_cholesky_MAP,D,3,0.0753346471638744
conjugate_linear_model,D,3,0.0801709465735458
stan_collapsed,D,5,0
stan_uncollapsed,D,5,0.0664512552445001
stan_collapsed_variationalbayes_meanfield,D,5,0.0826505354292175
mongrel_cholesky,D,5,0.0770975598077032
mongrel_cholesky_MAP,D,5,0.0770975598077032
conjugate_linear_model,D,5,0.0694873890649522
stan_uncollapsed,D,5,0.088248971885935
stan_collapsed_variationalbayes_meanfield,D,5,0.0983101424314318
mongrel_cholesky,D,5,0.102669709396356
mongrel_cholesky_MAP,D,5,0.102669709396356
conjugate_linear_model,D,5,0.0951430860986468
stan_uncollapsed,D,5,0.0960227257502252
stan_collapsed_variationalbayes_meanfield,D,5,0.0853279712505031
mongrel_cholesky,D,5,0.0968732387621656
mongrel_cholesky_MAP,D,5,0.0968732387621656
conjugate_linear_model,D,5,0.0959628863061995
stan_collapsed,D,10,0
stan_uncollapsed,D,10,0.0853860702478479
stan_collapsed_variationalbayes_meanfield,D,10,0.08139589446723
mongrel_cholesky,D,10,0.0757171257568076
mongrel_cholesky_MAP,D,10,0.0757171257568076
conjugate_linear_model,D,10,0.0815282299007722
stan_uncollapsed,D,10,0.0834497888216363
stan_collapsed_variationalbayes_meanfield,D,10,0.0801926503054228
mongrel_cholesky,D,10,0.0906509404039591
mongrel_cholesky_MAP,D,10,0.0906509404039591
conjugate_linear_model,D,10,0.0913952638058548
stan_uncollapsed,D,10,0.0757100043068024
stan_collapsed_variationalbayes_meanfield,D,10,0.0833399209913289
mongrel_cholesky,D,10,0.0959212139757898
mongrel_cholesky_MAP,D,10,0.0959212139757898
conjugate_linear_model,D,10,0.0882351317080647
stan_collapsed,D,25,0
stan_uncollapsed,D,25,0.0954078244943285
