model,ESS,burnin_runtime,sample_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
Mongrel (eigendecomposition),4000,0,3.783262968,N,30,4000,0,0.14,0.028541427,0.124137931,2
Mongrel (eigendecomposition),4000,0,3.589172363,N,30,4000,0,0.057777778,0.030656195,0.062068966,3
Mongrel (eigendecomposition),4000,0,8.153264046,N,50,4000,0,0.088666667,0.017728292,0.131034483,1
Mongrel (eigendecomposition),4000,0,8.617137194,N,50,4000,0,0.144,0.017607331,0.15862069,2
Mongrel (eigendecomposition),4000,0,8.06458354,N,50,4000,0,0.120666667,0.017823228,0.103448276,3
Mongrel (eigendecomposition),4000,0,88.12293148,N,100,4000,0,0.114,0.008859065,0.172413793,1
Mongrel (eigendecomposition),4000,0,90.72828937,N,100,4000,0,0.112333333,0.005927919,0.089655172,2
Mongrel (eigendecomposition),4000,0,90.78907681,N,100,4000,0,0.143333333,0.009925036,0.220689655,3
Mongrel (eigendecomposition),4000,0,1324.769345,N,250,4000,0,0.107333333,0.002243208,0.124137931,1
Mongrel (eigendecomposition),4000,0,1251.548452,N,250,4000,0,0.0652,0.001920431,0.110344828,2
Mongrel (eigendecomposition),4000,0,1224.151553,N,250,4000,0,0.122266667,0.002676557,0.075862069,3
Mongrel (eigendecomposition),4000,0,8686.065322,N,500,4000,0,0.157,0.001372049,0.089655172,1
Mongrel (eigendecomposition),4000,0,8128.668258,N,500,4000,0,0.159866667,0.002933324,0.386206897,2
Mongrel (eigendecomposition),4000,0,8771.584625,N,500,4000,0,0.124066667,0.001417467,0.165517241,3
Mongrel (eigendecomposition),4000,0,25939.70108,N,750,4000,0,0.149511111,0.001658823,0.351724138,1
Mongrel (eigendecomposition),4000,0,26393.8445,N,750,4000,0,0.097333333,0.000919646,0.193103448,2
Mongrel (eigendecomposition),4000,0,23961.21836,N,750,4000,0,0.074755556,0.000747148,0.186206897,3
Mongrel (eigendecomposition),4000,0,55765.44304,N,1000,4000,0,0.117166667,0.000921656,0.317241379,1
Mongrel (eigendecomposition),4000,0,54346.53216,N,1000,4000,0,0.1126,0.000923835,0.275862069,2
Mongrel (eigendecomposition),4000,0,56788.45255,N,1000,4000,0,0.1003,0.000832212,0.248275862,3
Mongrel (Cholesky),4000,0,1.814409018,N,10,4000,0,0.033333333,0.147021957,0.165517241,1
Mongrel (Cholesky),4000,0,1.890153646,N,10,4000,0,0.22,0.214322448,0.282758621,2
Mongrel (Cholesky),4000,0,1.536221266,N,10,4000,0,0.043333333,0.305258602,0.337931034,3
Mongrel (Cholesky),4000,0,2.134540319,N,20,4000,0,0.07,0.040044315,0.027586207,1
Mongrel (Cholesky),4000,0,2.137896538,N,20,4000,0,0.16,0.051863471,0.131034483,2
Mongrel (Cholesky),4000,0,2.031745911,N,20,4000,0,0.056666667,0.05186897,0.082758621,3
Mongrel (Cholesky),4000,0,2.75107789,N,30,4000,0,0.064444444,0.027601805,0.068965517,1
Mongrel (Cholesky),4000,0,2.761658907,N,30,4000,0,0.14,0.028567414,0.117241379,2
Mongrel (Cholesky),4000,0,2.503717184,N,30,4000,0,0.057777778,0.030614658,0.062068966,3
Mongrel (Cholesky),4000,0,3.935251236,N,50,4000,0,0.088666667,0.017731547,0.117241379,1
Mongrel (Cholesky),4000,0,4.067654848,N,50,4000,0,0.144,0.017463521,0.15862069,2
Mongrel (Cholesky),4000,0,3.799401045,N,50,4000,0,0.120666667,0.017733279,0.096551724,3
Mongrel (Cholesky),4000,0,8.251724958,N,100,4000,0,0.114,0.00890312,0.15862069,1
Mongrel (Cholesky),4000,0,8.181615114,N,100,4000,0,0.112333333,0.005915563,0.110344828,2
Mongrel (Cholesky),4000,0,8.536557198,N,100,4000,0,0.143333333,0.009951153,0.206896552,3
Mongrel (Cholesky),4000,0,300.7777126,N,250,4000,0,0.107333333,0.002237311,0.110344828,1
Mongrel (Cholesky),4000,0,346.1776285,N,250,4000,0,0.0652,0.00192591,0.103448276,2
Mongrel (Cholesky),4000,0,353.8185229,N,250,4000,0,0.122266667,0.002682281,0.089655172,3
Mongrel (Cholesky),4000,0,1608.651994,N,500,4000,0,0.157,0.001371991,0.089655172,1
Mongrel (Cholesky),4000,0,659.8102069,N,500,4000,0,0.159866667,0.002926799,0.393103448,2
Mongrel (Cholesky),4000,0,1653.733831,N,500,4000,0,0.124066667,0.001404489,0.15862069,3
Mongrel (Cholesky),4000,0,1756.82456,N,750,4000,0,0.149511111,0.001647193,0.344827586,1
Mongrel (Cholesky),4000,0,2182.749567,N,750,4000,0,0.097333333,0.000916281,0.186206897,2
Mongrel (Cholesky),4000,0,1509.500608,N,750,4000,0,0.074755556,0.00075139,0.213793103,3
Mongrel (Cholesky),4000,0,2981.577473,N,1000,4000,0,0.117166667,0.000919441,0.310344828,1
Mongrel (Cholesky),4000,0,2478.037808,N,1000,4000,0,0.1126,0.000918681,0.262068966,2
Mongrel (Cholesky),4000,0,2018.853566,N,1000,4000,0,0.1003,0.000834685,0.248275862,3
Stan (uncollapsed),2000,6.03,4.41,D,3,4000,2000,0,0.003971616,0.1,1
Stan (uncollapsed),2000,4.95,1.83,D,3,4000,2000,0.01,0.005015569,0,2
Stan (uncollapsed),2000,11.91,9.14,D,3,4000,2000,0,0.005820473,0,3
Stan (uncollapsed),2000,8.6,5.43,D,5,4000,2000,0.008,0.002349896,0,1
Stan (uncollapsed),1959.515044,8.04,5.24,D,5,4000,2000,0.022,0.005740668,0.05,2
Stan (uncollapsed),2000,14.03,12.5,D,5,4000,2000,0.02,0.002281609,0,3
Stan (uncollapsed),1294.724265,38.13,49.11,D,10,4000,2000,0.023,0.004195129,0,1
Stan (uncollapsed),1947.631992,30.71,26.71,D,10,4000,2000,0.031,0.003476214,0,2
Stan (uncollapsed),2000,40.7,39.46,D,10,4000,2000,0.026,0.003950767,0,3
Stan (uncollapsed),418.7438085,356.36,162.75,D,25,4000,2000,0.1296,0.008792327,0.075,1
Stan (uncollapsed),607.7844912,303.57,156.44,D,25,4000,2000,0.094,0.005841797,0.041666667,2
Stan (uncollapsed),631.0544126,298.15,235.99,D,25,4000,2000,0.1116,0.006197067,0.05,3
Stan (uncollapsed),115.5294434,2801.58,1685.03,D,50,4000,2000,0.1444,0.008340625,0.065306122,1
Stan (uncollapsed),136.1470726,2400.23,1559.96,D,50,4000,2000,0.1314,0.006682987,0.048979592,2
Stan (uncollapsed),60.02066904,3352.8,2221.55,D,50,4000,2000,0.133,0.007497601,0.036734694,3
Stan (uncollapsed),109.8043697,16765.2,21260.7,D,75,4000,2000,0.2012,0.009938746,0.024324324,1
Stan (uncollapsed),83.5081263,15700,18293.2,D,75,4000,2000,0.189333333,0.00916308,0.051351351,2
Stan (uncollapsed),74.93058219,14081.2,9039.75,D,75,4000,2000,0.1644,0.011224052,0.110810811,3
Stan (uncollapsed),17.91727433,48297.5,49217.6,D,100,4000,2000,0.2258,0.013601614,0.028282828,1
Stan (uncollapsed),21.69034914,41769,45539.9,D,100,4000,2000,0.2108,0.012041078,0.02020202,2
Stan (uncollapsed),23.94581243,40277.8,40467.2,D,100,4000,2000,0.19,0.013435229,0.109090909,3
Stan (collapsed),1942.050562,51.77,37.8,D,3,4000,2000,0,0.003959654,0.1,1
Stan (collapsed),1980.413684,64.91,23.36,D,3,4000,2000,0.01,0.00501173,0,2
Stan (collapsed),1976.531706,111.24,83.93,D,3,4000,2000,0,0.005735266,0,3
Stan (collapsed),1940.211251,70.59,45,D,5,4000,2000,0.008,0.002329531,0,1
Stan (collapsed),1980.237873,60.51,46.33,D,5,4000,2000,0.022,0.005747078,0.05,2
Stan (collapsed),1991.504981,140.28,108.24,D,5,4000,2000,0.02,0.002288089,0,3
Stan (collapsed),1549.265846,154.41,190.48,D,10,4000,2000,0.023,0.004152298,0,1
Stan (collapsed),1947.564712,122.37,119.36,D,10,4000,2000,0.031,0.003493806,0,2
Stan (collapsed),1913.527941,151.74,161.28,D,10,4000,2000,0.026,0.003851015,0.022222222,3
Stan (collapsed),469.8111673,266.82,228.07,D,25,4000,2000,0.1296,0.008580555,0.083333333,1
Stan (collapsed),486.214731,196.2,111.41,D,25,4000,2000,0.094,0.005789502,0.075,2
Stan (collapsed),268.5916867,257.57,204.39,D,25,4000,2000,0.1116,0.005873417,0.033333333,3
Stan (collapsed),184.1667556,506.65,635.58,D,50,4000,2000,0.1444,0.008658905,0.085714286,1
Stan (collapsed),123.8821026,540.75,419.06,D,50,4000,2000,0.1314,0.006692608,0.073469388,2
Stan (collapsed),155.6876513,546.17,598.38,D,50,4000,2000,0.133,0.007684736,0.06122449,3
Stan (collapsed),132.3546972,1300.32,1521.7,D,75,4000,2000,0.2012,0.009826869,0.059459459,1
Stan (collapsed),68.23941814,1345.27,1284.79,D,75,4000,2000,0.189333333,0.01025685,0.137837838,2
Stan (collapsed),61.15856127,1370.2,1146.79,D,75,4000,2000,0.1644,0.014238965,0.235135135,3
Stan (collapsed),103.3240188,2423.5,1906.3,D,100,4000,2000,0.2258,0.014849825,0.125252525,1
Stan (collapsed),96.91798886,2407.02,2051.74,D,100,4000,2000,0.2108,0.009230265,0.068686869,2
Stan (collapsed),84.4453983,2603.53,2230.77,D,100,4000,2000,0.19,0.013878575,0.216161616,3
Stan (collapsed),46.1876917,11056.5,10607.9,D,250,4000,2000,0.32712,0.018537216,0.094779116,1
Stan (collapsed),44.66120457,12664.7,14421.1,D,250,4000,2000,0.33716,0.018660697,0.120481928,2
Stan (collapsed),43.52868402,10838.1,10694.2,D,250,4000,2000,0.30132,0.01602664,0.127710843,3
Stan (collapsed),10.68633351,32599,33410.9,D,500,4000,2000,0.42768,0.057214637,0.267334669,1
Stan (collapsed),12.96257983,36494.7,37896.4,D,500,4000,2000,0.43942,0.040030383,0.214829659,2
Stan (collapsed),8.073238395,32336.2,33641,D,500,4000,2000,0.4043,0.047057735,0.241683367,3
Mongrel (eigendecomposition),4000,0,0.735402107,D,3,4000,0,0,0.003812049,0.1,1
Mongrel (eigendecomposition),4000,0,0.737733603,D,3,4000,0,0.01,0.005497107,0,2
Mongrel (eigendecomposition),4000,0,0.635171413,D,3,4000,0,0,0.005993165,0,3
Mongrel (eigendecomposition),4000,0,1.959061623,D,5,4000,0,0.008,0.002486036,0,1
Mongrel (eigendecomposition),4000,0,1.740490675,D,5,4000,0,0.022,0.00537905,0.05,2
Mongrel (eigendecomposition),4000,0,2.129385471,D,5,4000,0,0.02,0.002224005,0,3
Mongrel (eigendecomposition),4000,0,5.023400784,D,10,4000,0,0.023,0.004470769,0.022222222,1
Mongrel (eigendecomposition),4000,0,2.925781965,D,10,4000,0,0.031,0.003878831,0.044444444,2
Mongrel (eigendecomposition),4000,0,6.202269077,D,10,4000,0,0.026,0.003840841,0.022222222,3
Mongrel (eigendecomposition),4000,0,35.43484402,D,25,4000,0,0.1296,0.009968755,0.15,1
Mongrel (eigendecomposition),4000,0,76.01196289,D,25,4000,0,0.094,0.006895746,0.125,2
Mongrel (eigendecomposition),4000,0,29.81819534,D,25,4000,0,0.1116,0.006218115,0.091666667,3
Mongrel (eigendecomposition),4000,0,477.865103,D,50,4000,0,0.1444,0.009700357,0.142857143,1
Mongrel (eigendecomposition),4000,0,347.8826227,D,50,4000,0,0.1314,0.008076438,0.175510204,2
