model,ESS,burnin_runtime,sample_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
Mongrel (eigendecomposition),4000,0,55.67095351,Q,2,4000,0,0.018333333,0.002807512,0.034482759,2
Mongrel (eigendecomposition),4000,0,58.85526896,Q,2,4000,0,0.007333333,0.003855584,0.086206897,3
Mongrel (eigendecomposition),4000,0,58.42153573,Q,4,4000,0,0.061,0.007495214,0.086206897,1
Mongrel (eigendecomposition),4000,0,112.0344608,Q,4,4000,0,0.06,0.005309566,0.137931034,2
Mongrel (eigendecomposition),4000,0,63.65861011,Q,4,4000,0,0.091,0.005746661,0.103448276,3
Mongrel (eigendecomposition),4000,0,57.50013995,Q,10,4000,0,0.309,0.016482262,0.193103448,1
Mongrel (eigendecomposition),4000,0,55.47216225,Q,10,4000,0,0.286333333,0.017231768,0.2,2
Mongrel (eigendecomposition),4000,0,107.6907897,Q,10,4000,0,0.297333333,0.021337908,0.234482759,3
Mongrel (eigendecomposition),4000,0,60.95849729,Q,20,4000,0,0.544666667,0.091679428,0.363793103,1
Mongrel (eigendecomposition),4000,0,53.18431544,Q,20,4000,0,0.538666667,0.113837941,0.446551724,2
Mongrel (eigendecomposition),4000,0,53.48774934,Q,20,4000,0,0.503,0.076580176,0.310344828,3
Mongrel (eigendecomposition),4000,0,105.5419817,Q,50,4000,0,0.761,0.677496578,0.553793103,1
Mongrel (eigendecomposition),4000,0,59.8675518,Q,50,4000,0,0.736333333,0.629367333,0.531034483,2
Mongrel (eigendecomposition),4000,0,55.8316021,Q,50,4000,0,0.735,0.674458906,0.512413793,3
Mongrel (eigendecomposition),4000,0,115.125756,Q,75,4000,0,0.816333333,0.954224052,0.501149425,1
Mongrel (eigendecomposition),4000,0,55.98000264,Q,75,4000,0,0.820333333,1.000248826,0.48,2
Mongrel (eigendecomposition),4000,0,58.20411038,Q,75,4000,0,0.817333333,1.070125656,0.52137931,3
Mongrel (eigendecomposition),4000,0,108.0179882,Q,100,4000,0,0.835,1.017511122,0.503103448,1
Mongrel (eigendecomposition),4000,0,58.51850724,Q,100,4000,0,0.854666667,1.099124106,0.451034483,2
Mongrel (eigendecomposition),4000,0,69.69017649,Q,100,4000,0,0.852666667,1.093402631,0.478275862,3
Mongrel (eigendecomposition),4000,0,76.48156977,Q,250,4000,0,0.915333333,1.156258043,0.473931034,1
Mongrel (eigendecomposition),4000,0,90.86586523,Q,250,4000,0,0.905333333,1.08358772,0.514758621,2
Mongrel (eigendecomposition),4000,0,73.50369716,Q,250,4000,0,0.896666667,1.047135311,0.54262069,3
Mongrel (eigendecomposition),4000,0,1337.40236,Q,500,4000,0,0.932666667,1.051586623,0.60337931,1
Mongrel (eigendecomposition),4000,0,1325.249432,Q,500,4000,0,0.937,1.049646053,0.622413793,2
Mongrel (eigendecomposition),4000,0,429.0147312,Q,500,4000,0,0.928666667,1.064577647,0.605448276,3
Mongrel (Cholesky),4000,0,7.791550159,Q,2,4000,0,0.005333333,0.003317502,0.068965517,1
Mongrel (Cholesky),4000,0,7.272746801,Q,2,4000,0,0.018333333,0.002812069,0.034482759,2
Mongrel (Cholesky),4000,0,8.155139208,Q,2,4000,0,0.007333333,0.003853746,0.086206897,3
Mongrel (Cholesky),4000,0,8.137808084,Q,4,4000,0,0.061,0.007488486,0.086206897,1
Mongrel (Cholesky),4000,0,8.357017756,Q,4,4000,0,0.06,0.005300117,0.129310345,2
Mongrel (Cholesky),4000,0,8.726999521,Q,4,4000,0,0.091,0.005774601,0.094827586,3
Mongrel (Cholesky),4000,0,10.05063963,Q,10,4000,0,0.309,0.016502807,0.193103448,1
Mongrel (Cholesky),4000,0,9.731364012,Q,10,4000,0,0.286333333,0.017209079,0.203448276,2
Mongrel (Cholesky),4000,0,18.79347515,Q,10,4000,0,0.297333333,0.021373787,0.224137931,3
Mongrel (Cholesky),4000,0,10.79137301,Q,20,4000,0,0.544666667,0.091751722,0.368965517,1
Mongrel (Cholesky),4000,0,9.825910807,Q,20,4000,0,0.538666667,0.113743742,0.444827586,2
Mongrel (Cholesky),4000,0,9.149765015,Q,20,4000,0,0.503,0.076616392,0.318965517,3
Mongrel (Cholesky),4000,0,13.2634213,Q,50,4000,0,0.761,0.677507295,0.553103448,1
Mongrel (Cholesky),4000,0,12.18314695,Q,50,4000,0,0.736333333,0.62942961,0.531724138,2
Mongrel (Cholesky),4000,0,16.51633143,Q,50,4000,0,0.735,0.673793065,0.514482759,3
Mongrel (Cholesky),4000,0,15.6905396,Q,75,4000,0,0.816333333,0.954731908,0.503908046,1
Mongrel (Cholesky),4000,0,13.81797266,Q,75,4000,0,0.820333333,1.000370564,0.47816092,2
Mongrel (Cholesky),4000,0,17.09769177,Q,75,4000,0,0.817333333,1.069636868,0.52045977,3
Mongrel (Cholesky),4000,0,16.67606664,Q,100,4000,0,0.835,1.017248908,0.502413793,1
Mongrel (Cholesky),4000,0,13.30822301,Q,100,4000,0,0.854666667,1.098671354,0.452068966,2
Mongrel (Cholesky),4000,0,38.01598358,Q,100,4000,0,0.852666667,1.093319858,0.476896552,3
Mongrel (Cholesky),4000,0,32.91870618,Q,250,4000,0,0.915333333,1.156327712,0.472413793,1
Mongrel (Cholesky),4000,0,31.50780702,Q,250,4000,0,0.905333333,1.083637117,0.515172414,2
Mongrel (Cholesky),4000,0,28.69653296,Q,250,4000,0,0.896666667,1.047244286,0.541655172,3
Mongrel (Cholesky),4000,0,1108.050607,Q,500,4000,0,0.932666667,1.05140438,0.603517241,1
Mongrel (Cholesky),4000,0,394.3708043,Q,500,4000,0,0.937,1.049788495,0.621931034,2
Mongrel (Cholesky),4000,0,1248.421686,Q,500,4000,0,0.928666667,1.064478103,0.607103448,3
